"exerciseId","name","equipments","bodyParts","exerciseType","targetMuscles","secondaryMuscles","keywords","overview","instructions","exerciseTips","variations","relatedExerciseIds","source"
"CbwREKv","Handstand Push Up","[]","[""Shoulders""]","weight_reps","[""Shoulders"", ""Triceps""]","[""Chest""]","[]","Handstands Push Up which demand high level of skill","[""Handstands Push Up which demand high level of skill""]","[]","[]","[]","wger"
"hG2xbZX","Zone 2 Running","[]","[""Cardio""]","cardio","[]","[]","[]","Zone two Cardio for endurance, you should be able to speak while running","[""Zone two Cardio for endurance, you should be able to speak while running""]","[]","[]","[]","wger"
"CwTXPcq","LYING DUMBBELL ROW SS SEATED SHRUG","[""Dumbbell""]","[""Back""]","weight_reps","[""Lats""]","[]","[]","laying on the stomach on a bench with slight angle","[""laying on the stomach on a bench with slight angle""]","[]","[]","[]","wger"
"UPZpOPX","Suspended crossess","[""none (bodyweight exercise)""]","[""Cardio""]","cardio","[""Chest""]","[]","[]","Suspension exercise with trx for chest training","[""Suspension exercise with trx for chest training""]","[]","[]","[]","wger"
"FNJUssQ","Biceps with TRX","[""none (bodyweight exercise)""]","[""Abs""]","bodyweight","[""Biceps""]","[]","[]","Grab the handles of the TRX straps, lean your body back, arms and legs extended, with your body positioned in a single straight line. (This is an arm exercise, not an abdominal one.)","[""Grab the handles of the TRX straps, lean your body back, arms and legs extended, with your body positioned in a single straight line. (This is an arm exercise, not an abdominal one.)""]","[]","[]","[]","wger"
"vnmIk63","Kettlebell Swing","[""Kettlebell"", ""Kettlebells""]","[""Abs"", ""Hamstrings""]","weight_reps","[""Glutes"", ""Hamstrings"", ""Shoulders""]","[""Abs"", ""Glutes"", ""Quads"", ""Trapezius""]","[""Kettlebell Swing"", ""Kettlebells""]","While kettlebell swings are a full-body workout, they mostly target the muscles along the posterior chain (back of the body). The main muscles used are the glutes, hamstrings, spinal erectors, and muscles of the upper back.","[""Keeping your back straight, swing the kettlebell upwards until the kettlebell is level with your chest and carefully lower."", ""Repeat"", ""Stand with your feet slightly wider than shoulder width apart holding the kettlebell between your legs, with your knees slightly bent."", ""While kettlebell swings are a full-body workout, they mostly target the muscles along the posterior chain (back of the body). The main muscles used are the glutes, hamstrings, spinal erectors, and muscles of the upper back.""]","[]","[]","[]","wger,musclewiki"
"OAoFfqY","Swimming 50m sprints","[]","[""Cardio""]","cardio","[]","[]","[]","50m swimming sprints at 1min","[""50m swimming sprints at 1min""]","[]","[]","[]","wger"
"QRjFSuX","one-handed kettlebell curls","[""Kettlebell""]","[""Arms""]","weight_reps","[""Biceps""]","[]","[]","Standing with the kettlebell in one hand and bent at the elbow, start from a fully extended position until your hand reaches shoulder height. To perform the movement correctly, try not to push with your back or body.","[""Standing with the kettlebell in one hand and bent at the elbow, start from a fully extended position until your hand reaches shoulder height. To perform the movement correctly, try not to push with your back or body.""]","[]","[]","[]","wger"
"EvOnnIo","Medicine ball booklet crunch","[""none (bodyweight exercise)""]","[""Abs""]","bodyweight","[""Abs""]","[]","[]","Using a medicine ball as an overload will make the exercise heavier.","[""Using a medicine ball as an overload will make the exercise heavier.""]","[]","[]","[]","wger"
"vu5OIxD","Knee Raises","[""Pull-up bar""]","[""Abs""]","weight_reps","[""Abs""]","[""Obliquus externus abdominis""]","[]","The 90° leg raise on the bar is a very intense exercise that involves all the abdominal muscles.","[""The 90\u00b0 leg raise on the bar is a very intense exercise that involves all the abdominal muscles.""]","[]","[]","[]","wger"
"ZYukl9i","Sloper hanging","[""none (bodyweight exercise)""]","[""Arms""]","bodyweight","[]","[]","[]","Hanging on sloper holds of a fingerboard for a amount of seconds","[""Hanging on sloper holds of a fingerboard for a amount of seconds""]","[]","[]","[]","wger"
"M9HIeZW","Arnold Shoulder Press","[""Dumbbell""]","[""Shoulders""]","weight_reps","[]","[]","[]","Very common shoulder exercise. As shown here: https://www.youtube.com/watch?v=vj2w851ZHRM","[""Very common shoulder exercise. As shown here: https://www.youtube.com/watch?v=vj2w851ZHRM""]","[]","[]","[]","wger"
"nTaL9vP","Barbell Hack Squats","[""Barbell""]","[""Legs""]","weight_reps","[]","[]","[]","Perform leg squats with barbell behind your legs","[""Perform leg squats with barbell behind your legs""]","[]","[]","[]","wger"
"lMZmObH","Dumbbell Push-Up","[""Dumbbell""]","[""Chest""]","weight_reps","[]","[]","[]","Normal Push-ups on Dumbbells, this brings a further range of movement","[""Normal Push-ups on Dumbbells, this brings a further range of movement""]","[]","[]","[]","wger"
"dW6DqEr","Seated Hip Adduction","[]","[""Legs""]","weight_reps","[""Glutes""]","[]","[]","Starting Position: Sit on the machine with your knees inward and against the pads. Pull the pin to release the pads. Grab the handles on the sides.b","[""Starting Position: Sit on the machine with your knees inward and against the pads. Pull the pin to release the pads. Grab the handles on the sides.b""]","[]","[]","[]","wger"
"p3m1Ptg","Barbell Lunges Standing","[""Barbell""]","[""Legs""]","weight_reps","[""Quads""]","[""Glutes""]","[]","Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg. Remember to keep good posture.","[""Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg. Remember to keep good posture.""]","[]","[]","[]","wger"
"jhoAWSk","Barbell Lunges Walking","[""Barbell""]","[""Legs""]","weight_reps","[]","[]","[]","","[]","[]","[]","[]","wger"
"8A343gW","Barbell Ab Rollout","[""Barbell""]","[""Abs""]","weight_reps","[""Obliquus externus abdominis""]","[]","[]","Place a barbell on the floor at your feet. Bending at the waist, grip the barbell with a shoulder with overhand grip. With a slow controlled motion, roll the bar out so that your back is straight. Roll back up raising your hips and butt as you return to the starting position.","[""Place a barbell on the floor at your feet. Bending at the waist, grip the barbell with a shoulder with overhand grip. With a slow controlled motion, roll the bar out so that your back is straight. Roll back up raising your hips and butt as you return to the starting position.""]","[]","[]","[]","wger"
"hr9FZGS","Barbell Triceps Extension","[""Barbell""]","[""Arms""]","weight_reps","[""Triceps""]","[""Shoulders"", ""Chest""]","[]","Position barbell overhead with narrow overhand grip. Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.","[""Position barbell overhead with narrow overhand grip. Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.""]","[]","[]","[]","wger"
"ElH2K6r","Barbell Reverse Wrist Curl","[""Barbell"", ""Bench""]","[""Arms""]","weight_reps","[]","[]","[]","Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return t","[""Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return the barbell to the starting position.""]","[]","[]","[]","wger"
"KXmNFwe","Elliptical","[""none (bodyweight exercise)""]","[""Cardio""]","cardio","[""Glutes"", ""Quads"", ""Trapezius""]","[""Biceps"", ""Abs"", ""Triceps""]","[]","It improves muscle toning, strengthens the leg muscles (quads, glutes, calves), helps vascularisation and increases resistance. The elliptical is also very useful if you aim to lose weight. Teste","[""It improves muscle toning, strengthens the leg muscles (quads, glutes, calves), helps vascularisation and increases resistance. The elliptical is also very useful if you aim to lose weight. Teste""]","[]","[]","[]","wger"
"UUrrGA1","High knees","[""none (bodyweight exercise)""]","[""Cardio""]","cardio","[]","[]","[]","Starting positionStand straight. Steps: Run in place, putting knees as high up as is comfortable and switching legs at a quick pace.","[""Starting positionStand straight. Steps: Run in place, putting knees as high up as is comfortable and switching legs at a quick pace.""]","[]","[]","[]","wger"
"BeZRU2S","Lunges","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Starting position: Stand with back straight. Steps: Take a large step forward with your left leg. Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Return to the starting position by stepping back. Repeat, switching legs each time.","[""Starting position: Stand with back straight. Steps: Take a large step forward with your left leg. Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Return to the starting position by stepping back. Repeat, switching legs each time.""]","[]","[]","[]","wger"
"NF7ffCi","Pullup on fingerboard","[""none (bodyweight exercise)""]","[""Arms""]","bodyweight","[]","[]","[]","Pullup on a choosen edge of a fingerboard / hangboard","[""Pullup on a choosen edge of a fingerboard / hangboard""]","[]","[]","[]","wger"
"sPoeOYc","Push-up rotations","[""none (bodyweight exercise)""]","[""Arms""]","bodyweight","[]","[]","[]","Starting position: Get into the starting push-up position, with your hands and toes touching the ground and back, arms and legs straight. To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight. Steps","[""Starting position: Get into the starting push-up position, with your hands and toes touching the ground and back, arms and legs straight. To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight. Steps: Perform a standard push-up: 1.a Bend arms until chest almost touches the ground, making sure the back is straight.1.b Use your arms to lift yourself back up to starting position. Rotate your body to the side so that the back is straight, the bottom hand supporting the body is fully extended, and only the bottom hand and foot touch the floor. Repeat, changing sides at step 2 each time.""]","[]","[]","[]","wger"
"7iQJF7g","Side split squats left","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Starting position: Stand tall and take a wide lateral stride, just greater than shoulder width. Steps: Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot. Push back to the starting position. Repeat.","[""Starting position: Stand tall and take a wide lateral stride, just greater than shoulder width. Steps: Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot. Push back to the starting position. Repeat.""]","[]","[]","[]","wger"
"P54qXst","Side split squats right","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Starting position: Stand tall and take a wide lateral stride, just greater than shoulder width. Steps: Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot. Push back to the starting position. Repeat.","[""Starting position: Stand tall and take a wide lateral stride, just greater than shoulder width. Steps: Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot. Push back to the starting position. Repeat.""]","[]","[]","[]","wger"
"pEkVJWY","Bulgarian split squats left","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair. Bend the front knee, balancing with arms until the back knee almost touches the ground. Push back to the starting position and repeat.","[""Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair. Bend the front knee, balancing with arms until the back knee almost touches the ground. Push back to the starting position and repeat.""]","[]","[]","[]","wger"
"diVMM2j","Bulgarian split squats right","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair. Bend the front knee, balancing with arms until the back knee almost touches the ground. Push back to the starting position and repeat.","[""Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair. Bend the front knee, balancing with arms until the back knee almost touches the ground. Push back to the starting position and repeat.""]","[]","[]","[]","wger"
"jIKXkLQ","Kneeling kickbacks","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Starting position: Get down on all fours. Steps: Push one foot back until fully extended, concentrating on the gluteus muscles. Stay for one second, then return to the initial position. Repeat, alternating feet.","[""Starting position: Get down on all fours. Steps: Push one foot back until fully extended, concentrating on the gluteus muscles. Stay for one second, then return to the initial position. Repeat, alternating feet.""]","[]","[]","[]","wger"
"C76kuJG","Split squats left","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Starting position: Stand with your back straight. Take a large step forward with your left leg. Steps: Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Repeat.","[""Starting position: Stand with your back straight. Take a large step forward with your left leg. Steps: Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Repeat.""]","[]","[]","[]","wger"
"j8h495Y","Reverse Nordic Curl","[]","[""Legs""]","weight_reps","[""Quads""]","[""Glutes"", ""Abs""]","[]","Natural Leg Extension is alternative to Leg Extension machine with no equipment.&nbsp;&nbsp;","[""Natural Leg Extension is alternative to Leg Extension machine with no equipment.&nbsp;&nbsp;""]","[]","[]","[]","wger"
"wagvtlN","Straight Bar Cable Curls","[]","[""Arms""]","weight_reps","[""Biceps""]","[]","[]","Standing upright in front of Cable Tower using a straight bar","[""Standing upright in front of Cable Tower using a straight bar""]","[]","[]","[]","wger"
"W6IPJOV","Cable Fly","[]","[""Chest""]","weight_reps","[""Chest""]","[]","[]","cable machine, two steps forward, straight back","[""cable machine, two steps forward, straight back""]","[]","[]","[]","wger"
"5sDgDbi","Split squats right","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Starting position: Stand with your back straight. Take a large step forward with your left leg. Steps: Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Repeat.","[""Starting position: Stand with your back straight. Take a large step forward with your left leg. Steps: Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Repeat.""]","[]","[]","[]","wger"
"u739dM1","Jump rope: basic jumps","[""none (bodyweight exercise)""]","[""Cardio""]","cardio","[]","[]","[]","Starting position: Put your feet close together, bend the knees a bit, keep your head and body straight, keep elbows in, open your arms. Steps: Spin only your wrists with enough force to make the rope spin. Jump just high enough to pass the rope below your feet. Repeat. Notes: This exercise requires","[""Starting position: Put your feet close together, bend the knees a bit, keep your head and body straight, keep elbows in, open your arms. Steps: Spin only your wrists with enough force to make the rope spin. Jump just high enough to pass the rope below your feet. Repeat. Notes: This exercise requires a jump rope. Make sure the rope length is adjusted to your height. One way to check is to grab both handles with one hand and stand on the middle of the rope hanging on the ground with one foot. If the rope (excluding the handles) reaches just below your chest, its length is right. A shorter rope would be hazardous, as you might hit yourself, and a longer rope would make for bad form.""]","[]","[]","[]","wger"
"q7x4wfs","TRX Rows","[""none (bodyweight exercise)""]","[""Abs""]","bodyweight","[""Shoulders"", ""Biceps"", ""Lats""]","[]","[]","This exercise serves as a lead-up to Pull Ups.","[""This exercise serves as a lead-up to Pull Ups.""]","[]","[]","[]","wger"
"XruP8w6","Leg raises pull up bar","[""Pull-up bar""]","[""Abs""]","weight_reps","[""Abs""]","[""Obliquus externus abdominis"", ""Quads""]","[]","with a firm grip with both hands on the bar, raise your outstretched legs, until you reach a 90° angle with your torso.","[""with a firm grip with both hands on the bar, raise your outstretched legs, until you reach a 90\u00b0 angle with your torso.""]","[]","[]","[]","wger"
"b0Pa04H","Forward arm circles","[""none (bodyweight exercise)""]","[""Arms""]","bodyweight","[]","[]","[]","Starting position: Stand tall with your back straight. Steps: Keeping your arms straight, bring them in front of you, move them down, behind your back, then over your head, and back to the initial position. Keep circling your arms as described in step 1.","[""Starting position: Stand tall with your back straight. Steps: Keeping your arms straight, bring them in front of you, move them down, behind your back, then over your head, and back to the initial position. Keep circling your arms as described in step 1.""]","[]","[]","[]","wger"
"qjcMn4I","Backward arm circles","[""none (bodyweight exercise)""]","[""Arms""]","bodyweight","[]","[]","[]","Starting position: Stand tall with your back straight. Steps: Keeping your arms straight, bring them in front of you, raise them over your head, then continue the motion behind your back and down to the initial position. Keep circling your arms as described in step 1.","[""Starting position: Stand tall with your back straight. Steps: Keeping your arms straight, bring them in front of you, raise them over your head, then continue the motion behind your back and down to the initial position. Keep circling your arms as described in step 1.""]","[]","[]","[]","wger"
"lxr3ZsW","Mountain climbers","[""none (bodyweight exercise)""]","[""Chest""]","bodyweight","[]","[]","[]","Starting position: Start in the upright push-up position, aka. the high plank position.Hands should be directly under your shoulders.Keep your head in line with your back, facing the floor.Feet should be about hip-width apart. Steps: Move one knee toward the center of your body, towards your elbows,","[""Starting position: Start in the upright push-up position, aka. the high plank position.Hands should be directly under your shoulders.Keep your head in line with your back, facing the floor.Feet should be about hip-width apart. Steps: Move one knee toward the center of your body, towards your elbows, keeping the other leg extended. In a quick jumping movement, straighten the bent leg out and pull the other knee toward your body. Keep repeating step 2, alternating legs. Notes: Throughout the exercise, your back should remain as straight as possible \u2013 avoid a hump or a sagging back.""]","[]","[]","[]","wger"
"lXhcnMK","4-count burpees","[""none (bodyweight exercise)""]","[""Chest""]","bodyweight","[]","[]","[]","Starting position: Stand straight, feet hip-width apart. Steps: Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight. Keeping your hands on the floor, jump your legs backward into high plank position. Jump your feet forward to re","[""Starting position: Stand straight, feet hip-width apart. Steps: Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight. Keeping your hands on the floor, jump your legs backward into high plank position. Jump your feet forward to return to the squat position. Repeat.""]","[]","[]","[]","wger"
"N2AQHZ7","No push-up burpees","[""none (bodyweight exercise)""]","[""Chest""]","bodyweight","[]","[]","[]","Starting position: Stand straight, feet hip-width apart. Steps: Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight. Keeping your hands on the floor, jump your legs backward into high plank position. Jump your feet forward to re","[""Starting position: Stand straight, feet hip-width apart. Steps: Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight. Keeping your hands on the floor, jump your legs backward into high plank position. Jump your feet forward to return to the squat position. Jump up. Repeat.""]","[]","[]","[]","wger"
"MHNzjHJ","Reverse lunges","[""none (bodyweight exercise)""]","[""Legs""]","bodyweight","[]","[]","[]","Starting position: Stand straight, feet hip-width apart. Steps: Step backward with one leg so it can bend comfortably to a 90 degree angle. Slowly bend both knees to form 90 degree angles. Return to the starting position. Repeat, alternating legs.","[""Starting position: Stand straight, feet hip-width apart. Steps: Step backward with one leg so it can bend comfortably to a 90 degree angle. Slowly bend both knees to form 90 degree angles. Return to the starting position. Repeat, alternating legs.""]","[]","[]","[]","wger"
"Ns8IIC3","Floor dips","[""none (bodyweight exercise)""]","[""Arms""]","bodyweight","[]","[]","[]","Starting position: Sit with your arms behind you, supporting your back.Your fingers should point forward.Your knees should be bent, feet together. Steps: Raise your hips off the ground, straightening your arms. Bend your elbows, bringing your hips down. Straighten your arms, returning to the previou","[""Starting position: Sit with your arms behind you, supporting your back.Your fingers should point forward.Your knees should be bent, feet together. Steps: Raise your hips off the ground, straightening your arms. Bend your elbows, bringing your hips down. Straighten your arms, returning to the previous position. Repeat steps 2 and 3. Notes: The exercise's difficulty depends on how high you bring your hips.""]","[]","[]","[]","wger"
"OwxAPaU","High plank","[""none (bodyweight exercise)""]","[""Chest""]","bodyweight","[]","[]","[]","Starting position: Get into the high plank position:your hands and toes should be touching the ground, your back, arms and legs should be straight.To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straig","[""Starting position: Get into the high plank position:your hands and toes should be touching the ground, your back, arms and legs should be straight.To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight. Steps: Maintain the starting position for the entire duration of the exercise.""]","[]","[]","[]","wger"
"TscosTu","Child's pose","[""none (bodyweight exercise)""]","[""Back""]","bodyweight","[]","[]","[]","Starting position: Start on all fours, knees, toes, and hands touching the ground. Your two big toes should be touching. Steps: Move your knees so that they're about hip-width apart. On an exhale, move your pelvis back to sit on your heels. Your hands should still be touching the ground. Relax your ","[""Starting position: Start on all fours, knees, toes, and hands touching the ground. Your two big toes should be touching. Steps: Move your knees so that they're about hip-width apart. On an exhale, move your pelvis back to sit on your heels. Your hands should still be touching the ground. Relax your upper body, lowering your forehead to the floor and letting your hands move forward naturally. Stay in this pose. Tips: To leave the pose, walk your arms back under your shoulders and move your upper body up into a seated position.""]","[]","[]","[]","wger"
"v7Zgsuy","Kettlebell deadlifts","[""Kettlebell""]","[""Back""]","weight_reps","[]","[]","[]","Starting position: Stand hip-width apart, with your kettlebell centered between your ankles. Your back should be straight, your head facing forward. Steps: Hinge at the hips and slightly bend at the knees to put your hands on the kettlebell handles. Your back should be straight as you perform the mo","[""Starting position: Stand hip-width apart, with your kettlebell centered between your ankles. Your back should be straight, your head facing forward. Steps: Hinge at the hips and slightly bend at the knees to put your hands on the kettlebell handles. Your back should be straight as you perform the movement. Grab the kettlebell handles, with your hands pushing in opposite directions as if to pull the handle apart. While contacting your abs and glutes, stand straight up. Hinge at the hips again to bring the kettlebell back down, similarly to step 1. Repeat from step 3. Tips: Be sure you're performing the movements correctly, as doing otherwise can lead to injury. For example, do not squat instead of hinging at the hips, do not round your back while reaching for the kettlebell, and do not lean back while standing up.""]","[]","[]","[]","wger"
"NridOMX","Biceps Curls With Dumbbell","[""Dumbbell""]","[""Arms""]","weight_reps","[""Biceps""]","[""Brachialis""]","[]","Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further ","[""Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly. Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).""]","[]","[]","[]","wger"
"Gg1fA2a","Bent Over Rowing","[""Barbell""]","[""Back""]","weight_reps","[""Lats""]","[""Shoulders"", ""Biceps""]","[]","Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of","[""Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position. Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause. Then inhale and slowly lower the barbell back to the starting position. Repeat for the recommended amount of repetitions.""]","[]","[]","[]","wger"
"EE1geav","Body-Ups","[""none (bodyweight exercise)""]","[""Arms""]","bodyweight","[]","[]","[]","Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position. Pressing your palms firmly into the ground, extend through the elbows to raise yo","[""Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position. Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement. Slowly lower your forearms back to the ground by allowing the elbows to flex. Repeat as needed.""]","[]","[]","[]","wger"
